PROVINCE NAME>>,<<CHINESE NAME>>,<<PROVINCE GMI
Duarte>>,<<Duarte>>,<<DOM-DUA
Hato Major>>,<<Hato Major>>,<<DOM-HMJ
Monte Plata>>,<<Monte Plata>>,<<DOM-MPL
Maria Trinidad S>>,<<Maria Trinidad S>>,<<DOM-MTS
Samana>>,<<Samana>>,<<DOM-SAM
San Cristobal>>,<<San Cristobal>>,<<DOM-SCR
Santo Domingo>>,<<Santo Domingo>>,<<DOM-SDM
Sanchez Ramirez>>,<<Sanchez Ramirez>>,<<DOM-SRM
El Seibo>>,<<El Seibo>>,<<DOM-ESE
La Altagracia>>,<<La Altagracia>>,<<DOM-LAL
La Romana>>,<<La Romana>>,<<DOM-LRO
San Pedro de Macor>>,<<San Pedro de Macor>>,<<DOM-SPD
Caldas>>,<<Caldas>>,<<COL-CLD
Cundinamarca>>,<<Cundinamarca>>,<<COL-CND
Distrito Especial>>,<<Distrito Especial>>,<<COL-DES
Quindio>>,<<Quindio>>,<<COL-QUI
Risaralda>>,<<Risaralda>>,<<COL-RSR
Tolima>>,<<Tolima>>,<<COL-TOL
Caqueta>>,<<Caqueta>>,<<COL-CAQ
Cauca>>,<<Cauca>>,<<COL-CAU
Huila>>,<<Huila>>,<<COL-HUI
Narino>>,<<Narino>>,<<COL-NAR
Putumayo>>,<<Putumayo>>,<<COL-PTM
Valle del Cauca>>,<<Valle del Cauca>>,<<COL-VDC
Carchi>>,<<Carchi>>,<<ECU-CRC
Imbabura>>,<<Imbabura>>,<<ECU-IMB
Sucumbios>>,<<Sucumbios>>,<<ECU-SCM
Atlantico>>,<<Atlantico>>,<<COL-ATL
Bolivar>>,<<Bolivar>>,<<COL-BLV
Cesar>>,<<Cesar>>,<<COL-CES
Choco>>,<<Choco>>,<<COL-CHO
Magdalena>>,<<Magdalena>>,<<COL-MGD
Sucre>>,<<Sucre>>,<<COL-SUC
Darien>>,<<Darien>>,<<PAN-DAR
San Blas>>,<<San Blas>>,<<PAN-SBL
Arauca>>,<<Arauca>>,<<COL-ARA
Norde de Santander>>,<<Norde de Santander>>,<<COL-NDS
Apure>>,<<Apure>>,<<VEN-APU
Barinas>>,<<Barinas>>,<<VEN-BRN
Merida>>,<<Merida>>,<<VEN-MER
Tachira>>,<<Tachira>>,<<VEN-TCH
Trujillo>>,<<Trujillo>>,<<VEN-TRJ
Zulia>>,<<Zulia>>,<<VEN-ZUL
Cojedes>>,<<Cojedes>>,<<VEN-CJD
Carabobo>>,<<Carabobo>>,<<VEN-CRB
Lara>>,<<Lara>>,<<VEN-LAR
Portuguesa>>,<<Portuguesa>>,<<VEN-PRT
Yaracuy>>,<<Yaracuy>>,<<VEN-YRC
Casanare>>,<<Casanare>>,<<COL-CSN
Guaviare>>,<<Guaviare>>,<<COL-GUA
Guainia>>,<<Guainia>>,<<COL-GUI
Meta>>,<<Meta>>,<<COL-MET
Vaupes>>,<<Vaupes>>,<<COL-VAU
Vichada>>,<<Vichada>>,<<COL-VCH
Bahamas>>,<<Bahamas>>,<<BHS
Connecticut>>,<<康涅狄格州>>,<<USA-CNN
Massachusetts>>,<<马萨诸塞州>>,<<USA-MSS
New Hampshire>>,<<新罕布什尔州>>,<<USA-NHM
Rhode Island>>,<<罗德岛>>,<<USA-RHI
Vermont>>,<<佛蒙特州>>,<<USA-VRM
Ciudad de la Habana>>,<<Ciudad de la Habana>>,<<CUB-CHB
La Habana>>,<<La Habana>>,<<CUB-LHB
Matanzas>>,<<Matanzas>>,<<CUB-MTN
Villa Clara>>,<<Villa Clara>>,<<CUB-VCL
Alabama>>,<<阿拉巴马州>>,<<USA-ALB
Florida>>,<<佛罗里达州>>,<<USA-FLA
Georgia>>,<<佐治亚>>,<<USA-GEO
Mississippi>>,<<密西西比州>>,<<USA-MSP
South Carolina>>,<<南卡罗来纳州>>,<<USA-SCR
Illinois>>,<<伊利诺斯>>,<<USA-ILL
Indiana>>,<<印第安娜>>,<<USA-IND
Kentucky>>,<<肯塔基>>,<<USA-KEN
North Carolina>>,<<北卡罗来纳州>>,<<USA-NCR
Ohio>>,<<俄亥俄州>>,<<USA-OHI
Tennessee>>,<<田纳西州>>,<<USA-TNN
Virginia>>,<<弗吉尼亚>>,<<USA-VRG
Wisconsin>>,<<威斯康星州>>,<<USA-WIS
West Virginia>>,<<西弗吉尼亚州>>,<<USA-WVR
Delaware>>,<<特拉华>>,<<USA-DEL
District of Columbia>>,<<哥伦比亚区>>,<<USA-DOC
Maryland>>,<<马里兰州>>,<<USA-MRY
New Jersey>>,<<新泽西>>,<<USA-NJR
New York>>,<<纽约>>,<<USA-NYO
Pennsylvania>>,<<宾夕法尼亚>>,<<USA-PEN
Barbados>>,<<Barbados>>,<<BRB
Dominica>>,<<Dominica>>,<<DMA
Guadeloupe>>,<<Guadeloupe>>,<<GLP
Grenada>>,<<Grenada>>,<<GRD
St. Lucia>>,<<St. Lucia>>,<<LCA
Martinique>>,<<Martinique>>,<<MTQ
St. Vincent & the Grenadines>>,<<St. Vincent & the Grenadines>>,<<VCT
Roraima>>,<<Roraima>>,<<BRA-ROR
