CITY NAME>>,<<PROVINCE NAME>>,<<PROVINCE GMI>>,<<COUNTYR NAME>>,<<COUNTRY FIPS CODE>>,<<COUNTRY GMI
Pilar>>,<<Neembucu>>,<<PRY-NMB>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY017
Resistencia>>,<<Chaco>>,<<ARG-CHA>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG026
Corrientes>>,<<Corrientes>>,<<ARG-CRR>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG027
Ypacarai>>,<<Central>>,<<PRY-CNT>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY018
Caazapa>>,<<Caazapa>>,<<PRY-CAZ>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY019
San Juan Bautista>>,<<Misiones>>,<<PRY-MSN>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY020
Salto>>,<<Salto>>,<<URY-SAL>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY005
Paysandu>>,<<Paysandu>>,<<URY-PYS>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY006
Fray Bentos>>,<<Rio Negro>>,<<URY-RNE>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY007
Mercedes>>,<<Soriano>>,<<URY-SOR>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY008
Durazno>>,<<Durazno>>,<<URY-DRZ>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY009
Trinidad>>,<<Flores>>,<<URY-FLR>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY010
Sao Paulo>>,<<Sao Paulo>>,<<BRA-SPA>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA011
Santos>>,<<Sao Paulo>>,<<BRA-SPA>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA012
Curitiba>>,<<Parana>>,<<BRA-PAN>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA013
Florianopolis>>,<<Santa Catarina>>,<<BRA-SCT>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA014
Porto Alegre>>,<<Rio Grande do Sul>>,<<BRA-RGS>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA015
Rivera>>,<<Rivera>>,<<URY-RIV>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY011
Tacuarembo>>,<<Tacuarembo>>,<<URY-TCR>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY012
Melo>>,<<Cerro Largo>>,<<URY-CLA>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY013
Florida>>,<<Florida>>,<<URY-FLD>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY015
Minas>>,<<Lavalleja>>,<<URY-LVL>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY016
Rocha>>,<<Rocha>>,<<URY-ROC>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY017
Montevideo>>,<<Montevideo>>,<<URY-MNT>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY019
Salvador>>,<<Bahia>>,<<BRA-BAH>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA016
Belo Horizonte>>,<<Minas Gerais>>,<<BRA-MGE>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA017
Vitoria>>,<<Espirito Santo>>,<<BRA-ESA>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA018
Rio de Janeiro>>,<<Rio de Janeiro>>,<<BRA-RDJ>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA019
Niteroi>>,<<Rio de Janeiro>>,<<BRA-RDJ>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA020
Fortaleza>>,<<Ceara>>,<<BRA-CEA>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA022
Teresina>>,<<Piaui>>,<<BRA-PIA>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA023
Natal>>,<<Rio Grande do Norte>>,<<BRA-RGN>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA024
Joao Pessoa>>,<<Paraiba>>,<<BRA-PAA>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA025
Recife>>,<<Pernambuco>>,<<BRA-PRN>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA026
Maceio>>,<<Alagoas>>,<<BRA-ALG>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA027
Aracaju>>,<<Sergipe>>,<<BRA-SRG>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA028
Galveston>>,<<Texas>>,<<USA-TEX>>,<<United States>>,<<US>>,<<USA>>,<<USA001
Yellowknife>>,<<Northwest Territories>>,<<CAN-NTR>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN001
Juneau>>,<<Alaska>>,<<USA-ALK>>,<<United States>>,<<US>>,<<USA>>,<<USA002
Jackson>>,<<Mississippi>>,<<USA-MSP>>,<<United States>>,<<US>>,<<USA>>,<<USA003
Baton Rouge>>,<<Louisiana>>,<<USA-LOU>>,<<United States>>,<<US>>,<<USA>>,<<USA004
New Orleans>>,<<Louisiana>>,<<USA-LOU>>,<<United States>>,<<US>>,<<USA>>,<<USA005
Houston>>,<<Texas>>,<<USA-TEX>>,<<United States>>,<<US>>,<<USA>>,<<USA006
Prince Rupert>>,<<British Columbia>>,<<CAN-BCL>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN002
Whitehorse>>,<<Yukon Territory>>,<<CAN-YTR>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN0039
Honolulu>>,<<Hawaii>>,<<USA-HAW>>,<<United States>>,<<US>>,<<USA>>,<<USA010
Hilo>>,<<Hawaii>>,<<USA-HAW>>,<<United States>>,<<US>>,<<USA>>,<<USA011
Edmonton>>,<<Alberta>>,<<CAN-ALB>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN004
Calgary>>,<<Alberta>>,<<CAN-ALB>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN005
Vancouver>>,<<British Columbia>>,<<CAN-BCL>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN006
Victoria>>,<<British Columbia>>,<<CAN-BCL>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN007
Seattle>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<US>>,<<USA>>,<<USA013
Olympia>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<US>>,<<USA>>,<<USA014
Portland>>,<<Oregon>>,<<USA-ORE>>,<<United States>>,<<US>>,<<USA>>,<<USA015
Bismarck>>,<<North Dakota>>,<<USA-NDA>>,<<United States>>,<<US>>,<<USA>>,<<USA016
Churchill>>,<<Manitoba>>,<<CAN-MNT>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN009
Saskatoon>>,<<Saskatchewan>>,<<CAN-SSK>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN010
Winnipeg>>,<<Manitoba>>,<<CAN-MNT>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN012
Helena>>,<<Montana>>,<<USA-MNT>>,<<United States>>,<<US>>,<<USA>>,<<USA017
Saint Paul>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<US>>,<<USA>>,<<USA018
Pierre>>,<<South Dakota>>,<<USA-SDA>>,<<United States>>,<<US>>,<<USA>>,<<USA019
Minneapolis>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<US>>,<<USA>>,<<USA020
Des Moines>>,<<Iowa>>,<<USA-IOW>>,<<United States>>,<<US>>,<<USA>>,<<USA021
Lincoln>>,<<Nebraska>>,<<USA-NEB>>,<<United States>>,<<US>>,<<USA>>,<<USA022
Topeka>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<US>>,<<USA>>,<<USA023
Oklahoma City>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<US>>,<<USA>>,<<USA024
Mexicali>>,<<Baja California>>,<<MEX-BCN>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX001
Boise>>,<<Idaho>>,<<USA-IDA>>,<<United States>>,<<US>>,<<USA>>,<<USA026
Carson City>>,<<Nevada>>,<<USA-NEV>>,<<United States>>,<<US>>,<<USA>>,<<USA029
Sacramento>>,<<California>>,<<USA-CAL>>,<<United States>>,<<US>>,<<USA>>,<<USA030
Cheyenne>>,<<Wyoming>>,<<USA-WYM>>,<<United States>>,<<US>>,<<USA>>,<<USA034
Salt Lake City>>,<<Utah>>,<<USA-UTA>>,<<United States>>,<<US>>,<<USA>>,<<USA035
Denver>>,<<Colorado>>,<<USA-COL>>,<<United States>>,<<US>>,<<USA>>,<<USA036
Jefferson City>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<US>>,<<USA>>,<<USA039
Santa Fe>>,<<New Mexico>>,<<USA-NME>>,<<United States>>,<<US>>,<<USA>>,<<USA040
Little Rock>>,<<Arkansas>>,<<USA-ARK>>,<<United States>>,<<US>>,<<USA>>,<<USA042
Phoenix>>,<<Arizona>>,<<USA-ARZ>>,<<United States>>,<<US>>,<<USA>>,<<USA043
El Paso>>,<<Texas>>,<<USA-TEX>>,<<United States>>,<<US>>,<<USA>>,<<USA044
Hermosillo>>,<<Sonora>>,<<MEX-SON>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX002
Chihuahua>>,<<Chihuahua>>,<<MEX-CHH>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX003
Culiacan>>,<<Sinaloa>>,<<MEX-SIN>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX004
La Paz>>,<<Baja California Sur>>,<<MEX-BCS>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX005
Durango>>,<<Durango>>,<<MEX-DRN>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX006
Zacatecas>>,<<Zacatecas>>,<<MEX-ZCT>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX008
Dallas>>,<<Texas>>,<<USA-TEX>>,<<United States>>,<<US>>,<<USA>>,<<USA045
Austin>>,<<Texas>>,<<USA-TEX>>,<<United States>>,<<US>>,<<USA>>,<<USA046
San Antonio>>,<<Texas>>,<<USA-TEX>>,<<United States>>,<<US>>,<<USA>>,<<USA047
Monterrey>>,<<Nuevo Leon>>,<<MEX-NLE>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX009
Saltillo>>,<<Coahuila>>,<<MEX-CDZ>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX010
Ciudad Victoria>>,<<Tamaulipas>>,<<MEX-TML>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX011
Aguascalientes>>,<<Aguascalientes>>,<<MEX-AGS>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX012
Tepic>>,<<Nayarit>>,<<MEX-NYR>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX013
Guanajuato>>,<<Guanajuato>>,<<MEX-GNJ>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX014
Guadalajara>>,<<Jalisco>>,<<MEX-JLS>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX015
Colima>>,<<Colima>>,<<MEX-COL>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX016
Tampico>>,<<Tamaulipas>>,<<MEX-TML>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX017
Campeche>>,<<Campeche>>,<<MEX-CMP>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX018
Jalapa>>,<<Veracruz>>,<<MEX-VLL>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX019
Tlaxcala>>,<<Tlaxcala>>,<<MEX-TLX>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX020
Puebla>>,<<Puebla>>,<<MEX-PUE>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX021
Oaxaca>>,<<Oaxaca>>,<<MEX-OAX>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX023
Tuxtla Gutierrez>>,<<Chiapas>>,<<MEX-CHP>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX024
Veracruz>>,<<Veracruz>>,<<MEX-VLL>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX025
San Luis Potosi>>,<<San Luis Potosi>>,<<MEX-SLP>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX026
Queretaro>>,<<Queretaro>>,<<MEX-QDA>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX027
Pachuca>>,<<Hidalgo>>,<<MEX-HDL>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX028
Morelia>>,<<Michoacan>>,<<MEX-MDO>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX029
