PROVINCE NAME>>,<<PROVINCE FIPS>>,<<COUNTRY NAME>>,<<COUNTRY FIPS>>,<<COUNTRY GMI>>,<<PROVINCE GMI
St. Helena>>,<<SH>>,<<St. Helena>>,<<SH>>,<<SHN>>,<<SHN>>,<<SHN
Alagoas>>,<<BR02>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-ALG>>,<<BRA-ALG
Bahia>>,<<BR05>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-BAH>>,<<BRA-BAH
Espirito Santo>>,<<BR08>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-ESA>>,<<BRA-ESA
Paraiba>>,<<BR17>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-PAA>>,<<BRA-PAA
Pernambuco>>,<<BR30>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-PRN>>,<<BRA-PRN
Rio de Janeiro>>,<<BR21>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-RDJ>>,<<BRA-RDJ
Rio Grande do Norte>>,<<BR22>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-RGN>>,<<BRA-RGN
Sergipe>>,<<BR28>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-SRG>>,<<BRA-SRG
Manitoba>>,<<CA03>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN-MNT>>,<<CAN-MNT
Saskatchewan>>,<<CA11>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN-SSK>>,<<CAN-SSK
Antioquia>>,<<CO02>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL-ANT>>,<<COL-ANT
Boyaca>>,<<CO36>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL-BOY>>,<<COL-BOY
Cordoba>>,<<CO12>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL-CRD>>,<<COL-CRD
Santander>>,<<CO26>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL-SNT>>,<<COL-SNT
Minnesota>>,<<US27>>,<<United States>>,<<US>>,<<USA>>,<<USA-MNN>>,<<USA-MNN
Montana>>,<<US30>>,<<United States>>,<<US>>,<<USA>>,<<USA-MNT>>,<<USA-MNT
North Dakota>>,<<US38>>,<<United States>>,<<US>>,<<USA>>,<<USA-NDA>>,<<USA-NDA
Baker I.>>,<<FQ>>,<<Baker I.>>,<<FQ>>,<<UMI>>,<<UMI-BKI>>,<<UMI-BKI
Howland I.>>,<<HQ>>,<<Howland I.>>,<<HQ>>,<<UMI>>,<<UMI-HWI>>,<<UMI-HWI
Johnston Atoll>>,<<JQ>>,<<Johnston Atoll>>,<<JQ>>,<<UMI>>,<<UMI-JNA>>,<<UMI-JNA
Midway Is.>>,<<MQ>>,<<Midway Is.>>,<<MQ>>,<<UMI>>,<<UMI-MDI>>,<<UMI-MDI
